Remaining: 393 collecting now: 'Chachani|2011-01-30T09:44:53Z.html' done in 0.055539 average: 0.4362345217391304
Remaining: 392 collecting now: 'Roderigo Lopez|2012-02-18T09:34:59Z.html' done in 0.04137 average: 0.4278331489361702
Remaining: 391 collecting now: 'Chachani|2013-02-25T18:29:08Z.html' done in 0.053998 average: 0.42004491666666666
Remaining: 390 collecting now: 'Roderigo Lopez|2009-01-23T19:13:41Z.html' done in 0.047304 average: 0.4124379591836735
Remaining: 389 collecting now: 'Hussein of Jordan|2015-12-23T19:36:25Z.html' done in 0.080141 average: 0.40579202000000003
Remaining: 388 collecting now: 'Hussein of Jordan|2006-06-30T02:41:20Z.html' done in 0.569888 average: 0.4090095882352941
Remaining: 387 collecting now: 'Hussein of Jordan|2016-06-18T05:53:21Z.html' done in 0.198717 average: 0.4049655
Remaining: 386 collecting now: 'Chachani|2019-05-30T21:26:57Z.html' done in 0.511462 average: 0.4069748679245283
Remaining: 385 collecting now: 'Hussein of Jordan|2005-01-28T13:05:32Z.html' done in 0.472362 average: 0.40818574074074077
Remaining: 384 collecting now: 'Hussein of Jordan|2016-02-23T13:01:37Z.html' done in 0.105948 average: 0.40269050909090914
Remaining: 383 collecting now: 'Hussein of Jordan|2004-02-12T21:10:11Z.html' done in 0.920915 average: 0.4119445178571429
Remaining: 382 collecting now: 'U.S. Route 30 in Indiana|2015-04-11T00:29:11Z.html' done in 0.351504 average: 0.41088415789473687
Remaining: 381 collecting now: 'Roderigo Lopez|2015-05-01T16:14:53Z.html' done in 0.335302 average: 0.4095810172413793
Remaining: 380 collecting now: 'Hussein of Jordan|2016-04-24T23:06:00Z.html' done in 0.047703 average: 0.4034474915254237
Remaining: 379 collecting now: 'Hussein of Jordan|2007-10-28T03:33:05Z.html' done in 0.578986 average: 0.4063731333333333
Remaining: 378 collecting now: 'Chachani|2006-06-06T18:35:23Z.html' done in 0.207111 average: 0.40310654098360654
Remaining: 377 collecting now: 'Roderigo Lopez|2013-06-16T09:46:24Z.html' done in 0.033018 average: 0.39713737096774193
Remaining: 376 collecting now: 'Hussein of Jordan|2013-04-29T19:05:03Z.html' done in 0.067857 average: 0.3919106984126984
Remaining: 375 collecting now: 'Hussein of Jordan|2005-02-17T20:53:33Z.html' done in 0.55278 average: 0.39442428124999995
Remaining: 374 collecting now: 'Hussein of Jordan|2013-05-30T21:13:37Z.html' done in 0.075814 average: 0.3895225846153846
Remaining: 373 collecting now: 'Hussein of Jordan|2006-02-27T17:34:30Z.html' done in 0.474809 average: 0.390814803030303
Remaining: 372 collecting now: 'Roderigo Lopez|2015-04-07T11:36:51Z.html' done in 0.183242 average: 0.3877167014925373
Remaining: 371 collecting now: 'Hussein of Jordan|2003-08-29T18:04:29Z.html' done in 0.078189 average: 0.3831648235294117
Remaining: 370 collecting now: 'Hussein of Jordan|2011-09-25T19:04:08Z.html' done in 0.073254 average: 0.3786733623188405
Remaining: 369 collecting now: 'Chachani|2007-02-11T04:28:19Z.html' done in 0.627863 average: 0.3822332142857142
Remaining: 368 collecting now: 'Hussein of Jordan|2015-07-25T14:25:19Z.html' done in 0.029605 average: 0.3772666197183098
Remaining: 367 collecting now: 'Hussein of Jordan|2017-01-28T06:51:40Z.html' done in 0.761475 average: 0.3826028472222222
Remaining: 366 collecting now: 'Roderigo Lopez|2006-10-03T00:59:46Z.html' done in 0.72049 average: 0.38723143835616436
Remaining: 365 collecting now: 'Roderigo Lopez|2008-05-16T14:22:25Z.html' done in 0.041265 average: 0.3825562162162162
Remaining: 364 collecting now: 'Roderigo Lopez|2020-01-08T18:48:22Z.html' done in 0.062487 average: 0.3782886266666667
Remaining: 363 collecting now: 'U.S. Route 30 in Indiana|2008-07-27T19:52:28Z.html' done in 0.272282 average: 0.37689380263157896
Remaining: 362 collecting now: 'Chachani|2006-11-22T15:51:36Z.html' done in 0.076948 average: 0.37299840259740263
Remaining: 361 collecting now: 'U.S. Route 30 in Indiana|2016-10-10T01:59:36Z.html' done in 0.031397 average: 0.36861889743589743
Remaining: 360 collecting now: 'Hussein of Jordan|2005-08-31T10:53:20Z.html' done in 0.196751 average: 0.36644335443037973
Remaining: 359 collecting now: 'U.S. Route 30 in Indiana|2012-09-17T12:58:50Z.html' done in 0.113629 average: 0.36328317499999996
Remaining: 358 collecting now: 'U.S. Route 30 in Indiana|2011-11-22T17:05:45Z.html' done in 0.243247 average: 0.36180124691358023
Remaining: 357 collecting now: 'Hussein of Jordan|2006-07-31T23:47:09Z.html' done in 0.112119 average: 0.3587563414634146
Remaining: 356 collecting now: 'Hussein of Jordan|2018-08-12T01:25:39Z.html' done in 0.242028 average: 0.35734997590361445
Remaining: 355 collecting now: 'Hussein of Jordan|2004-06-20T10:53:49Z.html' done in 2.315867 average: 0.3806656547619048
Remaining: 354 collecting now: 'Hussein of Jordan|2009-05-27T01:50:23Z.html' done in 0.17389 average: 0.378233
Remaining: 353 collecting now: 'Chachani|2007-10-18T19:08:55Z.html' done in 0.236574 average: 0.37658580232558136
Remaining: 352 collecting now: 'Hussein of Jordan|2004-09-26T15:44:38Z.html' done in 0.043362 average: 0.37275564367816094
Remaining: 351 collecting now: 'U.S. Route 30 in Indiana|2012-01-29T15:45:48Z.html' done in 0.128773 average: 0.36998311363636366
Remaining: 350 collecting now: 'Roderigo Lopez|2014-07-20T18:42:59Z.html' done in 0.087144 average: 0.36680514606741577
Remaining: 349 collecting now: 'Hussein of Jordan|2004-08-19T10:25:40Z.html' done in 0.054267 average: 0.36333250000000006
Remaining: 348 collecting now: 'Fair dealing in United Kingdom law|2014-10-04T22:03:45Z.html' done in 0.144863 average: 0.36093173626373637
Remaining: 347 collecting now: 'Roderigo Lopez|2017-09-23T15:26:10Z.html' done in 0.262229 average: 0.3598588804347827
Remaining: 346 collecting now: 'Hussein of Jordan|2017-09-29T09:02:45Z.html' done in 0.227735 average: 0.3584381935483872
Remaining: 345 collecting now: 'Hussein of Jordan|2013-06-16T03:51:27Z.html' done in 1.558408 average: 0.37120382978723415
Remaining: 344 collecting now: 'Hussein of Jordan|2005-05-31T20:38:25Z.html' done in 0.456971 average: 0.3721066421052633
Remaining: 343 collecting now: 'Chachani|2019-02-21T15:16:27Z.html' done in 0.090089 average: 0.36916895833333346
Remaining: 342 collecting now: 'Roderigo Lopez|2008-06-21T01:09:09Z.html' done in 0.138534 average: 0.36679127835051556
Remaining: 341 collecting now: 'U.S. Route 30 in Indiana|2018-12-12T18:03:13Z.html' done in 0.100514 average: 0.36407416326530617
Remaining: 340 collecting now: 'Roderigo Lopez|2018-07-25T21:20:52Z.html' done in 0.235799 average: 0.3627784545454546
Remaining: 339 collecting now: 'Roderigo Lopez|2016-06-05T01:19:30Z.html' done in 0.262796 average: 0.3617786300000001
Remaining: 338 collecting now: 'Hussein of Jordan|2016-10-03T09:43:22Z.html' done in 0.393904 average: 0.3620967029702971
Remaining: 337 collecting now: 'Hussein of Jordan|2003-07-06T21:36:00Z.html' done in 0.853025 average: 0.3669097254901962
Remaining: 336 collecting now: 'U.S. Route 30 in Indiana|2014-04-17T22:02:22Z.html' done in 0.052346 average: 0.36385570873786416
Remaining: 335 collecting now: 'Roderigo Lopez|2013-01-08T17:00:48Z.html' done in 0.294636 average: 0.3631901346153847
Remaining: 334 collecting now: 'Chachani|2011-03-14T16:44:46Z.html' done in 0.082082 average: 0.36051291428571436
Remaining: 333 collecting now: 'Chachani|2006-08-31T20:34:38Z.html' done in 0.115068 average: 0.35819739622641517
Remaining: 332 collecting now: 'Hussein of Jordan|2004-07-24T01:39:23Z.html' done in 0.049874 average: 0.3553158691588786
Remaining: 331 collecting now: 'Roderigo Lopez|2016-01-17T16:47:39Z.html' done in 0.191797 average: 0.3538018055555557
Remaining: 330 collecting now: 'U.S. Route 30 in Indiana|2015-05-23T17:00:34Z.html' done in 0.331358 average: 0.35359589908256894
Remaining: 329 collecting now: 'Hussein of Jordan|2006-03-31T19:26:14Z.html' done in 0.197427 average: 0.35217618181818194
Remaining: 328 collecting now: 'U.S. Route 30 in Indiana|2011-09-30T18:54:53Z.html' done in 0.147719 average: 0.35033422522522534
Remaining: 327 collecting now: 'Chachani|2018-12-10T12:03:38Z.html' done in 0.072162 average: 0.34785054464285725
Remaining: 326 collecting now: 'Hussein of Jordan|2012-12-31T08:53:46Z.html' done in 0.16279 average: 0.3462128407079647
Remaining: 325 collecting now: 'Chachani|2013-03-07T06:08:05Z.html' done in 0.566976 average: 0.3481493596491229
Remaining: 324 collecting now: 'U.S. Route 30 in Indiana|2008-06-30T04:57:42Z.html' done in 0.047702 average: 0.34553677391304355
Remaining: 323 collecting now: 'Chachani|2008-02-02T10:18:31Z.html' done in 0.083438 average: 0.34327730172413806
Remaining: 322 collecting now: 'Fair dealing in United Kingdom law|2015-08-04T10:11:59Z.html' done in 0.035262 average: 0.34064469230769245
Remaining: 321 collecting now: 'Hussein of Jordan|2010-11-30T09:54:51Z.html' done in 0.319561 average: 0.3404660169491527
Remaining: 320 collecting now: 'Hussein of Jordan|2019-02-07T22:40:13Z.html' done in 0.655371 average: 0.34311227731092453
Remaining: 319 collecting now: 'Roderigo Lopez|2007-08-22T12:07:29Z.html' done in 2.276059 average: 0.3592201666666668
Remaining: 318 collecting now: 'Hussein of Jordan|2010-03-09T11:37:05Z.html' done in 0.07232 average: 0.356849090909091
Remaining: 317 collecting now: 'Roderigo Lopez|2009-07-26T15:54:37Z.html' done in 0.435438 average: 0.35749326229508205
Remaining: 316 collecting now: 'U.S. Route 30 in Indiana|2019-11-30T20:56:50Z.html' done in 0.094989 average: 0.35535908130081306
Remaining: 315 collecting now: 'U.S. Route 30 in Indiana|2020-02-04T23:30:02Z.html' done in 0.257049 average: 0.3545662580645162
Remaining: 314 collecting now: 'Roderigo Lopez|2017-02-20T18:26:59Z.html' done in 0.211604 average: 0.3534225600000001
Remaining: 313 collecting now: 'Hussein of Jordan|2019-09-26T08:58:22Z.html' done in 0.296789 average: 0.3529730873015874
Remaining: 312 collecting now: 'Hussein of Jordan|2018-01-20T16:36:24Z.html' done in 2.163625 average: 0.36723018897637805
Remaining: 311 collecting now: 'Hussein of Jordan|2009-11-25T13:58:19Z.html' done in 1.725799 average: 0.3778440078125001
Remaining: 310 collecting now: 'Hussein of Jordan|2007-05-27T04:10:10Z.html' done in 0.370385 average: 0.3777861860465117
Remaining: 309 collecting now: 'Fair dealing in United Kingdom law|2011-08-26T16:30:32Z.html' done in 0.319391 average: 0.3773369923076924
Remaining: 308 collecting now: 'Chachani|2019-12-05T18:14:49Z.html' done in 0.41658 average: 0.37763655725190853
Remaining: 307 collecting now: 'Hussein of Jordan|2008-05-25T13:47:10Z.html' done in 0.53064 average: 0.3787956742424244
Remaining: 306 collecting now: 'Hussein of Jordan|2013-02-28T20:57:14Z.html' done in 0.416535 average: 0.37907942857142873
Remaining: 305 collecting now: 'Roderigo Lopez|2007-06-06T23:54:55Z.html' done in 0.555854 average: 0.3803986417910449
Remaining: 304 collecting now: 'Hussein of Jordan|2016-08-30T17:09:12Z.html' done in 0.068348 average: 0.37808715555555567
Remaining: 303 collecting now: 'Roderigo Lopez|2007-02-21T07:27:59Z.html' done in 0.517319 average: 0.37911091911764716
Remaining: 302 collecting now: 'U.S. Route 30 in Indiana|2008-05-10T07:07:32Z.html' done in 0.058712 average: 0.37677224087591255
Remaining: 301 collecting now: 'Roderigo Lopez|2010-04-29T20:18:33Z.html' done in 0.055802 average: 0.37444636956521754
Remaining: 300 collecting now: 'Roderigo Lopez|2007-04-24T04:18:30Z.html' done in 0.060501 average: 0.3721877697841728
Remaining: 299 collecting now: 'Chachani|2008-10-23T06:01:46Z.html' done in 0.054217 average: 0.3699165500000001
Remaining: 298 collecting now: 'Fair dealing in United Kingdom law|2016-10-19T10:49:53Z.html' done in 0.0362 average: 0.367549765957447
Remaining: 297 collecting now: 'Chachani|2019-07-07T02:54:28Z.html' done in 0.242721 average: 0.36667069014084525
Remaining: 296 collecting now: 'Chachani|2015-07-05T20:29:13Z.html' done in 0.285521 average: 0.36610320979021
Remaining: 295 collecting now: 'Chachani|2019-09-23T20:42:22Z.html' done in 0.040444 average: 0.3638416875000002
Remaining: 294 collecting now: 'Hussein of Jordan|2016-01-11T23:11:18Z.html' done in 0.307538 average: 0.36345338620689677
Remaining: 293 collecting now: 'U.S. Route 30 in Indiana|2013-08-12T14:25:56Z.html' done in 0.709432 average: 0.36582310273972624
Remaining: 292 collecting now: 'Hussein of Jordan|2008-01-31T18:06:53Z.html' done in 0.26284 average: 0.36512253741496614
Remaining: 291 collecting now: 'Hussein of Jordan|2009-10-27T22:22:51Z.html' done in 0.333298 average: 0.3649075067567569
Remaining: 290 collecting now: 'Chachani|2020-01-22T01:47:10Z.html' done in 0.540858 average: 0.3660883825503357
Remaining: 289 collecting now: 'Hussein of Jordan|2003-04-10T21:25:39Z.html' done in 0.390387 average: 0.3662503733333335
Remaining: 288 collecting now: 'U.S. Route 30 in Indiana|2012-04-07T13:35:38Z.html' done in 0.022146 average: 0.3639715364238412
Remaining: 287 collecting now: 'Hussein of Jordan|2008-12-18T20:53:43Z.html' done in 0.071684 average: 0.3620485921052633
Remaining: 286 collecting now: 'Fair dealing in United Kingdom law|2013-12-30T08:38:46Z.html' done in 0.224438 average: 0.36114917647058836
Remaining: 285 collecting now: 'Hussein of Jordan|2018-05-30T10:32:58Z.html' done in 0.276882 average: 0.3606019870129871
Remaining: 284 collecting now: 'Hussein of Jordan|2019-05-09T11:10:06Z.html' done in 1.846313 average: 0.37018721935483884
Remaining: 283 collecting now: 'Chachani|2007-08-26T23:21:10Z.html' done in 2.049655 average: 0.3809530384615386
Remaining: 282 collecting now: 'Hussein of Jordan|2009-08-31T06:38:05Z.html' done in 0.02415 average: 0.37868040764331223
Remaining: 281 collecting now: 'Chachani|2007-11-13T02:41:14Z.html' done in 0.352622 average: 0.37851548101265836
Remaining: 280 collecting now: 'Roderigo Lopez|2006-05-16T08:45:39Z.html' done in 0.035268 average: 0.37635669182389947
Remaining: 279 collecting now: 'Hussein of Jordan|2008-08-31T14:40:38Z.html' done in 0.054949 average: 0.3743478937500001
Remaining: 278 collecting now: 'Chachani|2011-05-11T18:46:52Z.html' done in 0.223834 average: 0.3734130248447206
Remaining: 277 collecting now: 'Roderigo Lopez|2015-08-19T11:17:01Z.html' done in 0.052885 average: 0.3714344567901236
Remaining: 276 collecting now: 'Fair dealing in United Kingdom law|2015-12-07T08:27:33Z.html' done in 0.207427 average: 0.3704282760736198
Remaining: 275 collecting now: 'U.S. Route 30 in Indiana|2010-07-24T22:21:03Z.html' done in 0.263684 average: 0.36977739634146356
Remaining: 274 collecting now: 'Roderigo Lopez|2017-04-26T09:26:54Z.html' done in 0.076126 average: 0.36799769090909107
Remaining: 273 collecting now: 'Chachani|2006-12-07T03:00:23Z.html' done in 0.261502 average: 0.3673561506024098
Remaining: 272 collecting now: 'Roderigo Lopez|2012-09-21T07:34:21Z.html' done in 0.025812 average: 0.36531097604790436
Remaining: 271 collecting now: 'Chachani|2016-11-18T21:54:26Z.html' done in 0.111675 average: 0.36380123809523823
Remaining: 270 collecting now: 'Hussein of Jordan|2010-07-20T22:31:34Z.html' done in 0.244508 average: 0.3630953609467457
Remaining: 269 collecting now: 'Hussein of Jordan|2017-07-22T07:40:39Z.html' done in 0.594344 average: 0.36445564705882366
Remaining: 268 collecting now: 'Hussein of Jordan|2007-09-24T08:53:16Z.html' done in 0.962763 average: 0.36795452046783644
Remaining: 267 collecting now: 'Hussein of Jordan|2011-01-31T21:21:38Z.html' done in 0.277445 average: 0.36742830232558155
Remaining: 266 collecting now: 'Roderigo Lopez|2017-12-01T22:58:45Z.html' done in 0.505269 average: 0.368225069364162
Remaining: 265 collecting now: 'Hussein of Jordan|2017-06-30T23:59:25Z.html' done in 0.230902 average: 0.3674358563218392
Remaining: 264 collecting now: 'Hussein of Jordan|2014-09-11T20:55:28Z.html' done in 0.57162 average: 0.368602622857143
Remaining: 263 collecting now: 'Chachani|2007-01-15T10:17:00Z.html' done in 0.46875 average: 0.3691716420454547
Remaining: 262 collecting now: 'Chachani|2017-05-28T16:28:41Z.html' done in 0.021395 average: 0.36720680225988717
Remaining: 261 collecting now: 'Hussein of Jordan|2015-05-29T12:25:34Z.html' done in 0.144545 average: 0.3659558932584271
Remaining: 260 collecting now: 'Chachani|2007-03-28T22:40:48Z.html' done in 0.636913 average: 0.367469620111732
Remaining: 259 collecting now: 'Roderigo Lopez|2007-01-23T17:47:14Z.html' done in 0.032305 average: 0.3656075944444446
Remaining: 258 collecting now: 'Roderigo Lopez|2016-08-25T18:13:45Z.html' done in 0.077942 average: 0.36401828176795586
Remaining: 257 collecting now: 'Roderigo Lopez|2013-02-27T13:47:35Z.html' done in 0.330025 average: 0.3638315054945056
Remaining: 256 collecting now: 'Roderigo Lopez|2019-10-22T16:49:43Z.html' done in 0.098982 average: 0.3623842404371586
Remaining: 255 collecting now: 'Chachani|2018-05-26T22:18:06Z.html' done in 0.332951 average: 0.36222427717391315
Remaining: 254 collecting now: 'Chachani|2012-04-18T22:07:21Z.html' done in 0.213356 average: 0.3614195837837839
Remaining: 253 collecting now: 'Hussein of Jordan|2005-04-30T11:18:38Z.html' done in 0.079419 average: 0.3599034516129034
Remaining: 252 collecting now: 'Hussein of Jordan|2017-04-30T07:11:50Z.html' done in 0.109839 average: 0.35856620855614985
Remaining: 251 collecting now: 'U.S. Route 30 in Indiana|2019-02-22T21:44:53Z.html' done in 0.553008 average: 0.3596004734042555
Remaining: 250 collecting now: 'Roderigo Lopez|2010-10-27T16:00:47Z.html' done in 0.189544 average: 0.3587007037037038
Remaining: 249 collecting now: 'Chachani|2009-01-06T17:02:40Z.html' done in 0.060963 average: 0.35713366315789485
Remaining: 248 collecting now: 'Hussein of Jordan|2014-02-25T09:54:48Z.html' done in 0.03565 average: 0.3554505026178012
Remaining: 247 collecting now: 'Hussein of Jordan|2011-08-31T15:13:05Z.html' done in 0.541606 average: 0.3564200625000002
Remaining: 246 collecting now: 'Hussein of Jordan|2011-06-20T16:02:57Z.html' done in 0.411678 average: 0.356706373056995
Remaining: 245 collecting now: 'Hussein of Jordan|2009-03-16T09:30:29Z.html' done in 0.409443 average: 0.3569782113402063
Remaining: 244 collecting now: 'Hussein of Jordan|2012-04-23T04:17:53Z.html' done in 0.223297 average: 0.3562926666666668
Remaining: 243 collecting now: 'Hussein of Jordan|2011-02-28T20:43:58Z.html' done in 0.465825 average: 0.35685150510204094
Remaining: 242 collecting now: 'Roderigo Lopez|2007-05-10T19:23:31Z.html' done in 0.485331 average: 0.3575036852791879
Remaining: 241 collecting now: 'Roderigo Lopez|2006-12-17T17:12:12Z.html' done in 0.062254 average: 0.35601252525252536
Remaining: 240 collecting now: 'Roderigo Lopez|2016-05-14T11:06:04Z.html' done in 0.050175 average: 0.35447565326633174
Remaining: 239 collecting now: 'Chachani|2019-08-20T08:19:26Z.html' done in 0.288193 average: 0.3541442400000001
Remaining: 238 collecting now: 'U.S. Route 30 in Indiana|2013-10-18T17:22:55Z.html' done in 0.393436 average: 0.3543397213930349
Remaining: 237 collecting now: 'Hussein of Jordan|2007-02-25T18:19:14Z.html' done in 0.154806 average: 0.35335193069306936
Remaining: 236 collecting now: 'Hussein of Jordan|2008-06-17T12:27:24Z.html' done in 0.309321 average: 0.35313502955665027
Remaining: 235 collecting now: 'Hussein of Jordan|2012-05-31T04:43:47Z.html' done in 0.2612 average: 0.35268436764705885
Remaining: 234 collecting now: 'Roderigo Lopez|2016-04-07T21:59:33Z.html' done in 0.573628 average: 0.35376214146341467
Remaining: 233 collecting now: 'Chachani|2006-03-31T20:10:04Z.html' done in 0.318404 average: 0.35359050000000003
Remaining: 232 collecting now: 'Hussein of Jordan|2012-11-28T20:05:23Z.html' done in 0.030189 average: 0.3520281739130435
Remaining: 231 collecting now: 'Hussein of Jordan|2006-01-30T18:23:50Z.html' done in 0.562003 average: 0.3530376682692308
Remaining: 230 collecting now: 'Hussein of Jordan|2018-12-30T19:38:51Z.html' done in 0.133327 average: 0.35198642105263156
Remaining: 229 collecting now: 'Fair dealing in United Kingdom law|2012-03-19T03:32:20Z.html' done in 1.596501 average: 0.357912680952381
Remaining: 228 collecting now: 'Chachani|2008-07-27T00:27:54Z.html' done in 0.245711 average: 0.35738091943127964
Remaining: 227 collecting now: 'U.S. Route 30 in Indiana|2006-07-31T19:56:16Z.html' done in 0.033063 average: 0.35585111792452834
Remaining: 226 collecting now: 'Roderigo Lopez|2019-09-08T00:53:52Z.html' done in 0.017535 average: 0.354262779342723
Remaining: 225 collecting now: 'Hussein of Jordan|2008-10-29T19:05:01Z.html' done in 0.297377 average: 0.3539969579439252
Remaining: 224 collecting now: 'Hussein of Jordan|2009-12-30T10:58:32Z.html' done in 0.305048 average: 0.353769288372093
Remaining: 223 collecting now: 'U.S. Route 30 in Indiana|2009-06-18T00:03:40Z.html' done in 0.549956 average: 0.35467756018518515
Remaining: 222 collecting now: 'U.S. Route 30 in Indiana|2018-07-13T05:47:03Z.html' done in 0.141611 average: 0.35369568663594464
Remaining: 221 collecting now: 'Roderigo Lopez|2011-10-06T21:02:36Z.html' done in 0.253415 average: 0.3532356834862385
Remaining: 220 collecting now: 'Hussein of Jordan|2010-08-26T05:00:03Z.html' done in 0.082876 average: 0.3520011643835616
Remaining: 219 collecting now: 'Chachani|2010-04-12T03:08:35Z.html' done in 0.570015 average: 0.3529921363636363
Remaining: 218 collecting now: 'Roderigo Lopez|2009-12-28T01:08:13Z.html' done in 0.040732 average: 0.3515791945701357
Remaining: 217 collecting now: 'Roderigo Lopez|2017-03-23T22:30:10Z.html' done in 0.052599 average: 0.3502324369369369
Remaining: 216 collecting now: 'U.S. Route 30 in Indiana|2008-04-02T09:04:52Z.html' done in 0.240773 average: 0.3497415874439462
Remaining: 215 collecting now: 'Roderigo Lopez|2010-11-17T23:30:45Z.html' done in 0.059962 average: 0.34844792857142853
Remaining: 214 collecting now: 'Hussein of Jordan|2008-09-30T13:47:44Z.html' done in 0.052404 average: 0.3471321777777777
Remaining: 213 collecting now: 'Hussein of Jordan|2015-02-24T05:17:36Z.html' done in 0.228211 average: 0.34660597787610614
Remaining: 212 collecting now: 'Hussein of Jordan|2012-06-19T20:07:05Z.html' done in 0.468397 average: 0.34714250220264314
