"41140977";"Horatio G. Herrick"
"11593795";"Richard P. Herrick"
"11630966";"Samuel Herrick (politician)"
"43552541";"James Herrington"
"36690379";"John Herriott"
"44933144";"Andrew S. Herron"
"46707210";"John Marshall Hewitt"
"12794796";"Samuel F. Hersey"
"1570170";"Abram Hewitt"
"37140852";"Alexander Hesler"
"49038623";"Wilson R. Herron"
"16276394";"Harvey Heth"
"11580853";"Goldsmith W. Hewitt"
"28700551";"Charles ""Buffalo"" Jones"
