Remaining: 392 collecting now: 'Hussein of Jordan|2016-09-13T22:09:30Z' done in 0.053383 average: 0.0330463829787234
Remaining: 391 collecting now: 'Roderigo Lopez|2008-06-21T01:09:09Z' done in 0.058528 average: 0.033577249999999996
Remaining: 390 collecting now: 'Hussein of Jordan|2010-07-20T22:31:34Z' done in 0.003697 average: 0.032967448979591835
Remaining: 389 collecting now: 'Hussein of Jordan|2005-09-06T09:46:19Z' done in 0.055649 average: 0.03342108
Remaining: 388 collecting now: 'Hussein of Jordan|2004-09-26T15:44:38Z' done in 0.04784 average: 0.033703803921568624
Remaining: 387 collecting now: 'Hussein of Jordan|2009-09-30T20:49:17Z' done in 0.005937 average: 0.03316982692307692
Remaining: 386 collecting now: 'U.S. Route 30 in Indiana|2012-06-29T13:45:15Z' done in 0.054434 average: 0.03357103773584906
Remaining: 385 collecting now: 'Hussein of Jordan|2014-07-31T23:04:13Z' done in 0.003674 average: 0.03301738888888889
Remaining: 384 collecting now: 'Hussein of Jordan|2013-12-31T21:24:55Z' done in 0.052459 average: 0.03337087272727273
Remaining: 383 collecting now: 'Chachani|2011-03-14T16:44:46Z' done in 0.05995 average: 0.0338455
Remaining: 382 collecting now: 'Hussein of Jordan|2017-05-30T01:06:15Z' done in 0.00249 average: 0.033295403508771935
Remaining: 381 collecting now: 'Hussein of Jordan|2013-11-13T09:19:28Z' done in 0.053795 average: 0.03364884482758621
Remaining: 380 collecting now: 'U.S. Route 30 in Indiana|2010-09-12T08:34:35Z' done in 0.063884 average: 0.03416130508474576
Remaining: 379 collecting now: 'Roderigo Lopez|2013-08-19T10:07:47Z' done in 0.006888 average: 0.03370675
Remaining: 378 collecting now: 'Roderigo Lopez|2012-02-18T09:34:59Z' done in 0.004236 average: 0.033223622950819674
Remaining: 377 collecting now: 'Roderigo Lopez|2013-04-18T22:19:50Z' done in 0.005545 average: 0.0327771935483871
Remaining: 376 collecting now: 'Hussein of Jordan|2006-06-30T02:41:20Z' done in 0.015464 average: 0.032502380952380956
Remaining: 375 collecting now: 'Chachani|2019-01-11T01:11:09Z' done in 0.05113 average: 0.03279343750000001
Remaining: 374 collecting now: 'Hussein of Jordan|2005-11-05T12:06:22Z' done in 0.052397 average: 0.03309503076923078
Remaining: 373 collecting now: 'U.S. Route 30 in Indiana|2008-02-04T22:14:53Z' done in 0.05638 average: 0.03344783333333334
Remaining: 372 collecting now: 'Chachani|2008-12-18T14:22:55Z' done in 0.00325 average: 0.03299711940298508
