"49440621";"Reinhard Schlichting";"stub/stub"
"20731663";"John Curtiss Underwood";"C /C /C /C "
"12214745";"Robert B. Vance";"start/start/start/start"
"42308166";"Pliny Norcross";"stub/stub/stub"
"29920279";"Thomas R. Potts";"C/C/C/C/C"
"46259023";"Edgar Wilcox";"stub/stub"
"10647132";"George Washington Julian";"C/C/C/C"
"10646538";"DeWitt Webb";"Stub"
"32468936";"Nathaniel Wright";"start/stub"
"11910955";"Thomas M. Paschal";"start/start/Start"
"7068362";"James Houston Thomas";"stub/Stub/stub"
"13363939";"Aaron Shaw (representative)";"start/start/Start"
"13364444";"Arthur Smith (U.S. Representative)";"Stub/stub/Stub/stub"
"43798834";"John C. Smith (politician)";"Start/Start/Start/start/Start"
"11909695";"William F. Hunter";"stub/Stub/stub"
"6414963";"Abram Hewitt";"C/C/C"
"7103080";"Gilman Marston";"Start/Start/start/start"
"20710240";"Benjamin Franklin Stringfellow (1816–1891)";"start/C/Start"
"25882595";"Giles Mebane";""
"11907121";"Charles D. Martin";"stub/Stub/stub"
"38910841";"Wilkins F. Tannehill";"start/start"
"6695099";"William Atkinson Jones";"C/C/C"
"27116884";"Wiley Scribner";"stub/stub/stub/stub/stub"
"9330041";"Myron Benjamin Wright";"start/start"
"11919717";"Van. H. Manning";"start/start/start/start"
"52534032";"Francis McNulty (Kansas politician)";""
"11907228";"Eben Newton";"Start/start/start/start"
"10673203";"Myer Strouse";"stub/Stub/stub"
"6908680";"Ebenezer Pettigrew";"stub/Stub/stub"
"36429915";"Henry Wirtz Thomas";"-/-"
"8031903";"John Wood (congressman)";"start/start/start"
"25486576";"John Passmore (politician)";"Stub/Stub"
"11948817";"John H. Pugh";"start/start/start/start"
"10701986";"Webster Wagner";"Stub/stub/Stub"
"10669181";"Lorenzo A. Kelsey";"stub/Stub"
"10512296";"Asher Tyler";"stub/stub/stub"
"11905322";"Jeromus Johnson";"stub/stub/stub/stub"
"18232903";"Silas M. Stilwell";"Start/start/Start/start"
"7172244";"William Whipple Robinson";"stub/Stub"
"49448303";"Gerrit T. Thorn";"stub/stub"
"18950137";"Henry C. Loudenslager";"stub/stub/stub"
"11906978";"Adoniram J. Warner";"Start/Start/Start/start/start/Start"
"11900234";"Mark Trafton";"start/start/Start"
"11904911";"Bradford R. Wood";"start/start/start"
"49154097";"Nathaniel Treat";""
"15628867";"William S. Ladd";"B/B"
"3857339";"James L. Kemper";"B/B/Start/start<!-- B-Class checklist -->/-"
"10682824";"José de la Cruz Sánchez";"Stub"
